date,views,newViews
2021-10-05,9288729247,
2021-10-10,9294323024,5593777.0
2021-10-11,9295066209,743185.0
2021-10-12,9295741777,675568.0
2021-10-14,9298850309,3108532.0
2021-10-15,9300352138,1501829.0
2021-10-16,9301273788,921650.0
2021-10-17,9302386770,1112982.0
2021-10-18,9303330506,943736.0
2021-10-19,9304116928,786422.0
2021-10-20,9305195950,1079022.0
2021-10-21,9305351786,155836.0
2021-10-22,9305937998,586212.0
2021-10-23,9306500575,562577.0
2021-10-24,9307035027,534452.0
2021-10-25,9307551956,516929.0
2021-10-26,9308026382,474426.0
2021-10-27,9308444003,417621.0
2021-10-28,9308862247,418244.0
2021-10-29,9309288014,425767.0
2021-10-30,9309732173,444159.0
2021-10-31,9310140034,407861.0
2021-11-01,9310536433,396399.0
2021-11-02,9310939182,402749.0
2021-11-03,9311343369,404187.0
2021-11-04,9311745556,402187.0
